step,node,edge_u,edge_v,edge_key,edge_weight,cumulative_cost,node_degree,node_type
0,81,,,,,0.000000,1,endpoint
1,10,81,10,0,1.118399,1.118399,3,bifurcation
2,61,10,61,0,0.727971,1.846371,3,bifurcation
3,71,61,71,0,0.431968,2.278338,3,bifurcation
4,109,71,109,0,0.737730,3.016069,3,bifurcation
5,132,109,132,0,0.603672,3.619741,3,bifurcation
6,264,132,264,0,0.583216,4.202956,3,bifurcation
7,282,264,282,0,0.431876,4.634832,3,bifurcation
8,335,282,335,0,0.423794,5.058626,3,bifurcation
9,364,335,364,0,0.344783,5.403409,3,bifurcation
10,461,364,461,0,0.469048,5.872457,3,bifurcation
11,431,461,431,0,0.670337,6.542794,3,bifurcation
12,426,431,426,0,0.606960,7.149754,3,bifurcation
13,456,426,456,0,0.425964,7.575719,3,bifurcation
14,478,456,478,0,0.347679,7.923397,3,bifurcation
15,704,478,704,0,0.684578,8.607975,3,bifurcation
16,696,704,696,0,0.430991,9.038967,3,bifurcation
17,717,696,717,0,0.474476,9.513443,3,bifurcation
18,926,717,926,0,0.417369,9.930811,3,bifurcation
19,1241,926,1241,0,0.330619,10.261430,3,bifurcation
20,1793,1241,1793,0,0.501641,10.763071,3,bifurcation
21,2084,1793,2084,0,0.445802,11.208872,3,bifurcation
22,2244,2084,2244,0,0.301499,11.510372,3,bifurcation
23,2753,2244,2753,0,0.467757,11.978129,3,bifurcation
24,3030,2753,3030,0,0.293413,12.271542,3,bifurcation
25,3093,3030,3093,0,0.307381,12.578923,3,bifurcation
26,3241,3093,3241,0,0.575431,13.154354,3,bifurcation
27,3282,3241,3282,0,0.644052,13.798406,3,bifurcation
28,3327,3282,3327,0,0.640108,14.438514,3,bifurcation
29,3378,3327,3378,0,0.586254,15.024768,3,bifurcation
30,3507,3378,3507,0,0.350973,15.375741,4,bifurcation
31,3581,3507,3581,0,0.371250,15.746991,3,bifurcation
32,3523,3581,3523,0,0.632410,16.379401,3,bifurcation
33,3520,3523,3520,0,0.547429,16.926830,3,bifurcation
34,3559,3520,3559,0,0.570457,17.497287,3,bifurcation
35,3720,3559,3720,0,1.182829,18.680116,1,endpoint
