point_index,x,y,z,segment_index,segment_u,segment_v,segment_edge_key,segment_weight,cumulative_cost
0,35.428673,110.857460,68.000001,0,180,178,0,0.465372,0.000000
1,35.337244,110.674602,67.200001,0,180,178,0,0.465372,0.000000
2,35.253434,110.529840,66.400001,0,180,178,0,0.465372,0.000000
3,35.367720,110.468887,65.600001,0,180,178,0,0.465372,0.000000
4,34.796290,110.072696,64.800001,1,178,10,0,0.624648,0.465372
5,34.285812,109.714600,64.000001,1,178,10,0,0.624648,0.465372
6,33.714382,109.326027,63.328001,1,178,10,0,0.624648,0.465372
7,33.142952,109.051741,62.784001,1,178,10,0,0.624648,0.465372
8,32.571522,108.754597,62.400001,1,178,10,0,0.624648,0.465372
9,32.000092,108.571739,62.144001,1,178,10,0,0.624648,0.465372
10,31.428661,108.388882,61.856001,1,178,10,0,0.624648,0.465372
11,30.857231,108.091738,61.600001,1,178,10,0,0.624648,0.465372
12,30.285801,107.817451,61.344001,1,178,10,0,0.624648,0.465372
13,29.714371,107.428879,61.056001,1,178,10,0,0.624648,0.465372
14,29.142941,107.131735,60.928001,1,178,10,0,0.624648,0.465372
15,28.571510,106.948877,60.800001,1,178,10,0,0.624648,0.465372
16,28.000080,106.766020,60.800001,1,178,10,0,0.624648,0.465372
17,27.428650,106.674591,60.800001,1,178,10,0,0.624648,0.465372
18,26.857220,106.377447,60.800001,1,178,10,0,0.624648,0.465372
19,26.285789,106.103161,60.800001,1,178,10,0,0.624648,0.465372
20,25.714359,105.623159,60.800001,1,178,10,0,0.624648,0.465372
21,25.142929,105.143158,60.928001,1,178,10,0,0.624648,0.465372
22,24.571499,104.571728,61.056001,1,178,10,0,0.624648,0.465372
23,24.000069,104.000298,61.472001,1,178,10,0,0.624648,0.465372
24,23.520067,103.428867,61.728001,1,178,10,0,0.624648,0.465372
25,23.131495,102.857437,62.144001,1,178,10,0,0.624648,0.465372
26,22.948637,102.286007,62.272001,1,178,10,0,0.624648,0.465372
27,22.857208,101.714577,62.528001,1,178,10,0,0.624648,0.465372
28,22.857208,101.082194,62.698668,1,178,10,0,0.624648,0.465372
29,22.918161,100.388859,63.114668,1,178,10,0,0.624648,0.465372
30,22.948637,99.939334,63.914668,2,10,61,0,0.727971,1.090020
31,23.154352,99.428856,64.672001,2,10,61,0,0.727971,1.090020
32,23.131495,98.857426,65.344001,2,10,61,0,0.727971,1.090020
33,23.245781,98.285995,65.728001,2,10,61,0,0.727971,1.090020
34,23.245781,97.714565,66.144001,2,10,61,0,0.727971,1.090020
35,23.222924,97.143135,66.400001,2,10,61,0,0.727971,1.090020
36,23.337210,96.571705,66.656001,2,10,61,0,0.727971,1.090020
37,23.428638,96.000275,66.944001,2,10,61,0,0.727971,1.090020
38,23.611496,95.428844,67.072001,2,10,61,0,0.727971,1.090020
39,23.817211,94.857414,67.200001,2,10,61,0,0.727971,1.090020
40,23.908640,94.285984,67.200001,2,10,61,0,0.727971,1.090020
41,24.000069,93.714554,67.200001,2,10,61,0,0.727971,1.090020
42,24.000069,93.143124,67.200001,2,10,61,0,0.727971,1.090020
43,24.000069,92.571693,67.200001,2,10,61,0,0.727971,1.090020
44,24.091497,92.000263,67.200001,2,10,61,0,0.727971,1.090020
45,24.182926,91.428833,67.200001,2,10,61,0,0.727971,1.090020
46,24.388641,90.857403,67.200001,2,10,61,0,0.727971,1.090020
47,24.571499,90.285973,67.072001,2,10,61,0,0.727971,1.090020
48,24.754357,89.714542,66.944001,2,10,61,0,0.727971,1.090020
49,25.051500,89.143112,66.656001,2,10,61,0,0.727971,1.090020
50,25.325787,88.571682,66.400001,2,10,61,0,0.727971,1.090020
51,25.805788,88.000252,66.144001,2,10,61,0,0.727971,1.090020
52,26.285789,87.428822,65.728001,2,10,61,0,0.727971,1.090020
53,26.857220,86.857391,65.472001,2,10,61,0,0.727971,1.090020
54,27.428650,86.285961,64.928001,2,10,61,0,0.727971,1.090020
55,27.908651,85.714531,64.672001,2,10,61,0,0.727971,1.090020
56,28.297224,85.143101,64.256001,2,10,61,0,0.727971,1.090020
57,28.480081,84.571671,64.128001,2,10,61,0,0.727971,1.090020
58,28.571510,83.939288,64.000001,2,10,61,0,0.727971,1.090020
59,29.081988,83.725954,63.701334,3,61,71,0,0.431968,1.817992
60,29.653418,83.306905,63.200001,3,61,71,0,0.431968,1.817992
61,30.224848,83.154524,63.445334,4,71,109,0,0.737730,2.249959
62,30.857231,82.765951,63.200001,4,71,109,0,0.737730,2.249959
63,31.428661,82.285950,63.200001,4,71,109,0,0.737730,2.249959
64,31.908663,81.714520,62.912001,4,71,109,0,0.737730,2.249959
65,32.297235,81.143089,62.986668,4,71,109,0,0.737730,2.249959
66,32.510569,80.571659,62.858668,4,71,109,0,0.737730,2.249959
67,33.142952,80.571659,63.114668,5,109,132,0,0.603672,2.987689
68,33.775335,80.571659,63.285334,5,109,132,0,0.603672,2.987689
69,34.285812,80.480230,62.784001,6,132,264,0,0.583216,3.591361
70,34.857243,80.388801,62.528001,6,132,264,0,0.583216,3.591361
71,35.428673,80.183087,62.400001,6,132,264,0,0.583216,3.591361
72,36.000103,80.091658,62.272001,6,132,264,0,0.583216,3.591361
73,36.571533,80.000229,62.144001,6,132,264,0,0.583216,3.591361
74,37.142963,80.000229,61.856001,6,132,264,0,0.583216,3.591361
75,37.714394,80.091658,61.728001,6,132,264,0,0.583216,3.591361
76,38.285824,80.183087,61.600001,6,132,264,0,0.583216,3.591361
77,38.857254,80.388801,61.600001,6,132,264,0,0.583216,3.591361
78,39.428684,80.571659,61.728001,6,132,264,0,0.583216,3.591361
79,40.061067,80.784993,61.813334,6,132,264,0,0.583216,3.591361
80,40.632497,81.021184,62.144001,6,132,264,0,0.583216,3.591361
81,40.929641,81.653567,61.898668,7,264,282,0,0.431876,4.174577
82,41.142975,82.346902,61.856001,7,264,282,0,0.431876,4.174577
83,41.714405,82.560236,61.685334,8,282,335,0,0.423794,4.606453
84,42.194406,82.948809,61.600001,8,282,335,0,0.423794,4.606453
85,42.674408,83.428810,61.600001,8,282,335,0,0.423794,4.606453
86,43.040123,84.000240,61.600001,8,282,335,0,0.423794,4.606453
87,43.337267,84.571671,61.600001,8,282,335,0,0.423794,4.606453
88,43.512505,85.143101,61.600001,8,282,335,0,0.423794,4.606453
89,43.530283,85.714531,61.600001,8,282,335,0,0.423794,4.606453
90,44.122031,86.367231,61.685334,9,335,364,0,0.344783,5.030247
91,44.449651,86.857391,61.184001,10,364,461,0,0.469048,5.375030
92,44.754414,87.428822,60.800001,10,364,461,0,0.469048,5.375030
93,45.234415,87.939299,60.330668,10,364,461,0,0.469048,5.375030
94,45.755052,88.429459,59.772445,10,364,461,0,0.469048,5.375030
95,45.714417,89.082160,59.114668,11,461,431,0,0.670337,5.844078
